ANGELEGT_AM,LOR,bike_theft_count
2022-12-19,3601452,1
2022-12-19,3701554,1
2022-12-19,4200311,1
2022-12-19,4300518,1
2022-12-19,4300623,1
2022-12-19,4400834,1
2022-12-19,4501044,1
2022-12-19,4501045,1
2022-12-19,6100205,1
2022-12-19,6300526,1
2022-12-19,6400737,1
2022-12-19,7200307,1
2022-12-19,7200409,1
2022-12-19,7200413,1
2022-12-19,7300517,1
2022-12-19,7601544,1
2022-12-19,8100208,1
2022-12-19,9100409,1
2022-12-19,9401431,1
2022-12-19,9501939,1
2022-12-19,11300616,1
2022-12-19,11401135,1
2022-12-19,11501341,1
2022-12-19,12100101,1
2022-12-19,12400723,1
2022-12-19,12500928,1
2022-12-19,12500930,1
2022-12-19,12601134,1
2022-12-20,1100310,1
2022-12-20,1100311,1
2022-12-20,1100312,1
2022-12-20,1200623,1
2022-12-20,1200629,1
2022-12-20,1300834,1
2022-12-20,1401044,1
2022-12-20,1401048,1
2022-12-20,2200212,2
2022-12-20,2400623,1
2022-12-20,3400721,1
2022-12-20,3500934,3
2022-12-20,3601243,1
2022-12-20,3601244,1
2022-12-20,3601451,1
2022-12-20,4400727,1
2022-12-20,4501042,1
2022-12-20,4501045,1
2022-12-20,4501153,1
2022-12-20,6100103,1
2022-12-20,6300526,1
2022-12-20,6300629,1
2022-12-20,7100206,1
2022-12-20,7601237,1
2022-12-20,7601341,1
2022-12-20,8100101,1
2022-12-20,8100104,1
2022-12-20,8100418,1
2022-12-20,9200717,1
2022-12-20,9501940,1
2022-12-20,11300722,1
2022-12-20,12400723,1
2022-12-21,1100312,1
2022-12-21,1100415,1
2022-12-21,1300732,1
2022-12-21,1300733,1
2022-12-21,1300834,2
2022-12-21,1300836,1
2022-12-21,1401043,2
2022-12-21,1401048,1
2022-12-21,2200212,1
2022-12-21,2300419,1
2022-12-21,2500727,1
2022-12-21,3300516,1
2022-12-21,3400826,1
2022-12-21,3500934,1
2022-12-21,3601245,1
2022-12-21,3601347,2
2022-12-21,3701658,1
2022-12-21,4200310,1
2022-12-21,4300416,1
2022-12-21,4300619,1
2022-12-21,4300623,1
2022-12-21,4500939,1
2022-12-21,4501045,1
2022-12-21,5200630,1
2022-12-21,5300841,2
2022-12-21,5400943,1
2022-12-21,6100209,1
2022-12-21,6300633,1
2022-12-21,6400839,1
2022-12-21,7200411,1
2022-12-21,7400824,1
2022-12-21,7400927,1
2022-12-21,7601442,1
2022-12-21,7601544,1
2022-12-21,8100207,1
2022-12-21,8100311,1
2022-12-21,8100418,2
2022-12-21,8200727,1
2022-12-21,9200715,1
2022-12-21,10400836,1
2022-12-21,11300616,1
2022-12-21,11300620,2
2022-12-21,11501339,1
2022-12-21,11501341,1
2022-12-21,12100204,1
2022-12-22,1100206,1
2022-12-22,1100309,2
2022-12-22,1100311,1
2022-12-22,1200522,1
2022-12-22,1200629,1
2022-12-22,1300836,1
2022-12-22,1401047,1
2022-12-22,2200211,1
2022-12-22,2300314,1
2022-12-22,2300419,1
2022-12-22,2400623,1
2022-12-22,2500726,1
