,LOR,year,bike_theft_count
729,9301025,2023,1
730,9301126,2022,1
731,9301126,2023,1
732,9301227,2022,1
733,9301228,2022,1
734,9401329,2022,1
735,9401329,2023,1
736,9401330,2022,1
737,9401431,2022,1
738,9401431,2023,1
739,9401432,2022,1
740,9401433,2022,1
741,9401534,2022,1
742,9401534,2023,1
743,9401635,2022,1
744,9401635,2023,1
745,9501736,2022,1
746,9501736,2023,1
747,9501737,2022,1
748,9501737,2023,1
749,9501838,2022,1
750,9501838,2023,1
751,9501939,2022,1
752,9501939,2023,1
753,9501940,2022,1
754,9501940,2023,1
755,9501941,2022,1
756,9502042,2022,1
757,9502042,2023,1
758,9502043,2022,1
759,9502043,2023,1
760,10100101,2022,1
761,10100101,2023,1
762,10100102,2022,1
763,10100103,2022,1
764,10100104,2022,1
765,10100205,2022,1
766,10100206,2022,1
767,10100206,2023,1
768,10100207,2022,1
769,10100208,2022,1
770,10100208,2023,1
771,10100209,2022,1
772,10100209,2023,1
773,10100210,2022,1
774,10100311,2022,1
775,10100311,2023,1
776,10100312,2022,1
777,10100312,2023,1
778,10100313,2022,1
779,10100314,2022,1
780,10100315,2022,1
781,10100315,2023,1
782,10100316,2022,1
783,10100316,2023,1
784,10200417,2022,1
785,10200417,2023,1
786,10200418,2022,1
787,10200418,2023,1
788,10200419,2022,1
789,10200419,2023,1
790,10200420,2022,1
791,10200420,2023,1
792,10200421,2022,1
793,10200421,2023,1
794,10200422,2022,1
795,10200423,2022,1
796,10200524,2022,1
797,10200524,2023,1
798,10200525,2022,1
799,10200526,2022,1
800,10200526,2023,1
801,10200627,2022,1
802,10200627,2023,1
803,10200628,2022,1
804,10200628,2023,1
805,10200629,2022,1
806,10200629,2023,1
807,10200630,2022,1
808,10300731,2022,1
809,10300731,2023,1
810,10300732,2022,1
811,10300732,2023,1
812,10300733,2022,1
813,10300733,2023,1
814,10300734,2022,1
815,10300734,2023,1
816,10400835,2022,1
817,10400835,2023,1
818,10400836,2022,1
819,10400836,2023,1
820,10400837,2022,1
821,10400837,2023,1
822,10400938,2022,1
823,10400939,2022,1
824,10400939,2023,1
825,10400940,2022,1
826,10400941,2022,1
827,11100101,2022,1
828,11100101,2023,1
829,11100102,2022,1
830,11100102,2023,1
831,11100203,2022,1
832,11100203,2023,1
833,11100204,2022,1
834,11100205,2022,1
835,11100206,2022,1
836,11100307,2022,1
837,11100308,2022,1
838,11100308,2023,1
839,11100309,2022,1
840,11100309,2023,1
841,11200410,2022,1
842,11200410,2023,1
843,11200411,2022,1
844,11200512,2022,1
845,11200512,2023,1
846,11200513,2022,1
847,11200513,2023,1
848,11200514,2022,1
849,11200514,2023,1
850,11200515,2022,1
851,11200515,2023,1
852,11300616,2022,1
853,11300616,2023,1
854,11300617,2022,1
855,11300617,2023,1
856,11300618,2022,1
857,11300618,2023,1
858,11300619,2022,1
859,11300619,2023,1
860,11300620,2022,1
861,11300620,2023,1
862,11300721,2022,1
863,11300721,2023,1
864,11300722,2022,1
865,11300722,2023,1
866,11300723,2022,1
867,11300723,2023,1
868,11300724,2022,1
869,11300724,2023,1
870,11300725,2022,1
871,11300725,2023,1
872,11300826,2022,1
873,11300826,2023,1
874,11400927,2022,1
875,11400927,2023,1
876,11400928,2022,1
877,11400929,2022,1
878,11400929,2023,1
879,11400930,2022,1
880,11400930,2023,1
881,11400931,2022,1
882,11400931,2023,1
883,11401032,2022,1
884,11401032,2023,1
885,11401033,2022,1
886,11401033,2023,1
887,11401034,2022,1
888,11401034,2023,1
889,11401135,2022,1
890,11401136,2022,1
891,11401136,2023,1
892,11401137,2022,1
893,11401137,2023,1
894,11501238,2022,1
895,11501238,2023,1
896,11501339,2022,1
897,11501339,2023,1
898,11501340,2022,1
899,11501340,2023,1
900,11501341,2022,1
901,11501341,2023,1
902,12100101,2022,1
903,12100101,2023,1
904,12100102,2022,1
905,12100103,2022,1
906,12100204,2022,1
907,12100205,2022,1
908,12100205,2023,1
909,12100206,2022,1
910,12100206,2023,1
911,12200307,2022,1
912,12200308,2022,1
913,12200308,2023,1
914,12200309,2022,1
915,12200309,2023,1
916,12200310,2022,1
917,12200411,2022,1
918,12200412,2022,1
919,12200412,2023,1
920,12200413,2022,1
921,12200414,2022,1
922,12200515,2022,1
923,12200515,2023,1
